date,book,chapter_slug,word_count,sources_count,verify_flag_count,pantry_notes_found,pantry_lib_files_used,thin_pantry,mechanism_explained,contested_claims_flagged
2026-06-08,cancer-nanomedicine,what-counts-as-cancer-nanomedicine,2720,7,2,yes,0,no,"Nanomedicine is transport/biodistribution engineering; a particles fate is a dose-loss chain, so claims must rest on measured delivery.",3
2026-06-08,cancer-nanomedicine,tumor-transport-barriers,2682,6,1,yes,0,no,"The leaky vasculature that admits nanoparticles (EPR) also raises interstitial pressure, blocking deep penetration; drugs reach the rim, miss the core.",2
2026-06-08,cancer-nanomedicine,nanocarrier-platforms-liposomes-polymeric-and-albumin-particles,2633,4,1,yes,0,no,"Platforms are problem-matched tools (Doxil cardiotoxicity, Abraxane solvent, PLGA release); benefit must be attributed precisely, not assumed from nano.",1
2026-06-08,cancer-nanomedicine,targeting-epr-protein-corona-and-active-ligands,2849,5,1,yes,0,no,"Passive EPR gets particles to the tumor (variable in humans); active ligands only improve uptake once there; the protein corona masks ligands.",5
2026-06-08,cancer-nanomedicine,antibody-drug-conjugates-as-nanoscale-medicines,2874,4,12,yes,0,no,"An ADCs behavior is governed downstream of binding: linker stability, drug-to-antibody ratio, payload permeability (bystander effect).",1
2026-06-08,cancer-nanomedicine,nano-enabled-imaging-and-contrast,2776,5,5,yes,0,no,"Nano imagings main present value is biodistribution debugging - separating a delivery failure from a payload failure; signal is proxy, not proof.",0
2026-06-08,cancer-nanomedicine,radioligand-theranostics,2734,4,5,yes,0,no,"One shared targeting molecule (PSMA, SSTR2) carries an imaging then a therapeutic isotope; emitter choice (beta crossfire vs alpha high-LET) matches geometry.",0
2026-06-08,cancer-nanomedicine,multifunctional-theranostic-nanoparticles,2759,5,4,yes,0,no,"Most multifunctional particles have not translated while simpler designs have, because characterization/regulatory burden scales with complexity.",0
2026-06-08,cancer-nanomedicine,nucleic-acid-and-gene-delivery,3239,4,3,yes,0,no,"Nucleic-acid drugs act only if the vehicle (LNP via ionizable-lipid endosomal escape) delivers cargo to the cytosol; delivery is rate-limiting.",1
2026-06-08,cancer-nanomedicine,photodynamic-and-photothermal-nanomedicine,2931,4,3,yes,0,no,"Light-activated therapy kills only where photosensitizer + correct-wavelength light + oxygen coincide; penetration and hypoxia bound it.",1
2026-06-08,cancer-nanomedicine,characterization-manufacturing-and-regulatory-translation,3376,6,1,yes,0,no,"Nanoparticles are distributions not molecules; batch equivalence/characterization is the translation gate where most designs die.",1
2026-06-08,cancer-nanomedicine,clinical-strategy-and-the-gap-book,2972,5,2,yes,0,no,"The binding constraint is measured delivery and patient selection (image-then-treat), not new chemistry; successes measured, failures hoped.",1
